"term","estimate","std.error","statistic","conf.low","conf.high","coef.type"
"year2021",0.919239311703702,0.0585466835422596,-1.43831863677856,0.81955211954477,1.03095995420837,"coefficient"
"year2022",0.850084922059491,0.0590268892946174,-2.75161080185542,0.757174141519775,0.954303745342367,"coefficient"
"sexfemale",1.03715257090073,0.0418213283217586,0.872259372995606,0.955533543984521,1.12575649645426,"coefficient"
"sexother",4.17985573670969,0.480714418248389,2.9753148208115,1.6332164925253,10.927091062093,"coefficient"
"age",0.990567865776991,0.00143984607774492,-6.58188305796638,0.987775358178321,0.993365984191003,"coefficient"
"degreehigh school",1.0905863872255,0.0702969141082969,1.23356085567516,0.950129570217719,1.25158850416603,"coefficient"
"degreeassociate/junior college",1.47658494557541,0.0910974369980535,4.27818789533094,1.23518932466706,1.76531409331985,"coefficient"
"degreebachelor's",1.88735232497166,0.0840173239556875,7.56004750865013,1.60086200992397,2.22530442492779,"coefficient"
"degreegraduate",2.523602337664,0.0934335709848171,9.90743872976494,2.10148621011204,3.03105015706502,"coefficient"
"degreedon't know",1.28492949071475,0.634608661562639,0.395052669444006,0.367415599289829,4.45833441209402,"coefficient"
"degreeskipped on web",0.297144280001688,1.05073901569524,-1.15493709547215,0.0359332989589683,2.54518101051446,"coefficient"
"maritalwidowed",0.791860747710158,0.0995942684331126,-2.34320438210266,0.651456104849403,0.962621598323209,"coefficient"
"maritaldivorced",0.735489401302903,0.0660588195724031,-4.65069087256314,0.646194578419961,0.837157940558614,"coefficient"
"maritalseparated",0.699009272396797,0.134389180715158,-2.66458408109374,0.537437536108962,0.910040364101884,"coefficient"
"maritalnever",0.914523729436878,0.0577417823196266,-1.5474386121861,0.816665811764511,1.02411236133066,"coefficient"
"maritalother",0.934859973138786,0.45700317292032,-0.147391804365955,0.383330988644992,2.30693605755207,"coefficient"
"raceblack",0.937150284601318,0.0637305038198316,-1.01853298810535,0.827146618871663,1.06189961387715,"coefficient"
"raceother",1.02567223072237,0.0625940372984886,0.404962414469124,0.907296651489736,1.15957525759034,"coefficient"
"income_groupmiddle",1.62776259955551,0.0567626322696803,8.58322481000366,1.45648853051367,1.81946153607494,"coefficient"
"income_grouphigh",2.10048013971286,0.0627806709674246,11.8215677710628,1.85749887590869,2.37580451088811,"coefficient"
"income_groupUnknown",1.47571482554562,0.0724400656038387,5.3719236260016,1.28054879854327,1.70103269751181,"coefficient"
"poor|fair",0.0413273054479611,0.127840207157888,-24.9235504185441,NA,NA,"scale"
"fair|good",0.36233792608295,0.118999839839059,-8.53091908779388,NA,NA,"scale"
"good|excellent",4.77483661334416,0.119841556261051,13.0452224171814,NA,NA,"scale"
